year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2017,NYK,0.293,0.34,0.521,22.1,22.0,0.511,10.9,-5.8
2017,OKC,0.463,0.313,0.524,25.7,20.3,0.525,12.2,-4.4
2017,ORL,0.317,0.325,0.528,20.4,22.8,0.54,11.2,-9.6
2017,PHI,0.268,0.337,0.536,21.7,22.7,0.524,13.4,-7.8
2017,PHO,0.22,0.326,0.529,26.2,19.1,0.534,13.1,-9.0
2017,POR,0.39,0.362,0.551,24.2,20.2,0.516,11.1,-4.0
2017,SAC,0.366,0.365,0.541,22.7,22.4,0.529,12.6,-5.9
2017,SAS,0.732,0.378,0.559,21.9,22.2,0.493,13.0,6.2
2017,TOR,0.561,0.339,0.546,23.1,17.8,0.511,13.8,0.7
2017,UTA,0.537,0.357,0.555,21.9,20.4,0.499,10.8,1.6
2017,WAS,0.463,0.34,0.552,22.1,22.9,0.53,12.5,-1.3
